Vertex 1 at (2,0), edges: {'up': 0, 'down': 1, 'left': 2, 'right': 0}, connects: {} 

Vertex 2 at (2,-2), edges: {'up': 2, 'down': 0, 'left': 0, 'right': 1}, connects: {} 

Vertex 3 at (4,-2), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 4 at (4,0), edges: {'up': 0, 'down': 2, 'left': 1, 'right': 0}, connects: {} 

Vertex 5 at (4,2), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 6 at (6,2), edges: {'up': 0, 'down': 1, 'left': 2, 'right': 0}, connects: {} 

Vertex 7 at (6,0), edges: {'up': 2, 'down': 0, 'left': 0, 'right': 1}, connects: {} 

Vertex 8 at (8,0), edges: {'up': 0, 'down': 1, 'left': 2, 'right': 0}, connects: {} 

Vertex 9 at (8,-2), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 0}, connects: {} 

Vertex 10 at (6,-2), edges: {'up': 0, 'down': 1, 'left': 0, 'right': 2}, connects: {} 

Vertex 11 at (6,-4), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 0}, connects: {} 

Vertex 12 at (0,-4), edges: {'up': 1, 'down': 1, 'left': 0, 'right': 2}, connects: {} 

Vertex 13 at (0,-6), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 0}, connects: {} 

Vertex 14 at (0,-8), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 1}, connects: {} 

Vertex 15 at (2,-8), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 16 at (2,-6), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 17 at (8,-6), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 18 at (8,-4), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 19 at (10,-4), edges: {'up': 0, 'down': 1, 'left': 2, 'right': 0}, connects: {} 

Vertex 20 at (10,-8), edges: {'up': 2, 'down': 0, 'left': 0, 'right': 1}, connects: {} 

Vertex 21 at (14,-8), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 22 at (14,-6), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 23 at (16,-6), edges: {'up': 0, 'down': 1, 'left': 2, 'right': 0}, connects: {} 

Vertex 24 at (16,-8), edges: {'up': 2, 'down': 0, 'left': 0, 'right': 1}, connects: {} 

Vertex 25 at (22,-8), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 26 at (22,-6), edges: {'up': 0, 'down': 2, 'left': 1, 'right': 0}, connects: {} 

Vertex 27 at (20,-6), edges: {'up': 1, 'down': 0, 'left': 0, 'right': 2}, connects: {} 

Vertex 28 at (20,-4), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 29 at (22,-4), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 30 at (22,-2), edges: {'up': 0, 'down': 2, 'left': 1, 'right': 0}, connects: {} 

Vertex 31 at (20,-2), edges: {'up': 1, 'down': 0, 'left': 0, 'right': 2}, connects: {} 

Vertex 32 at (20,0), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 33 at (22,0), edges: {'up': 1, 'down': 0, 'left': 2, 'right': 0}, connects: {} 

Vertex 34 at (22,2), edges: {'up': 0, 'down': 2, 'left': 1, 'right': 0}, connects: {} 

Vertex 35 at (16,2), edges: {'up': 0, 'down': 1, 'left': 0, 'right': 2}, connects: {} 

Vertex 36 at (16,0), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 0}, connects: {} 

Vertex 37 at (14,0), edges: {'up': 0, 'down': 1, 'left': 0, 'right': 2}, connects: {} 

Vertex 38 at (14,-2), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 1}, connects: {} 

Vertex 39 at (14,-4), edges: {'up': 2, 'down': 0, 'left': 1, 'right': 0}, connects: {} 

Vertex 40 at (12,-4), edges: {'up': 1, 'down': 0, 'left': 0, 'right': 2}, connects: {} 

Vertex 41 at (12,-2), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

Vertex 42 at (12,0), edges: {'up': 0, 'down': 2, 'left': 1, 'right': 0}, connects: {} 

Vertex 43 at (12,2), edges: {'up': 0, 'down': 2, 'left': 1, 'right': 0}, connects: {} 

Vertex 44 at (-2,-8), edges: {'up': 1, 'down': 0, 'left': 0, 'right': 2}, connects: {} 

Vertex 45 at (-2,-6), edges: {'up': 0, 'down': 2, 'left': 0, 'right': 1}, connects: {} 

